Milad Milad| The journalist is the most normal person then rest if half of the Indians .If some one be the part of Bollywood they are for most of Indians like G Sorry Indians
Meena Sirisha| Seriously! This is not an interview or a talk, it's like demeaning the person. CNN doing such a thing is SHAME! Such hypocrisy?!
Linita's home remedies Chanu| N of course... dat man is being a little rude ... too ... but ... for all the viewers this video  must have quenched  thier thirst to know the details about this woman .
priya dev| i love her...she is a positive person.
Linita's home remedies Chanu| She must have gone through lots of interviews ... n lost her tempers ... n now she just know how to handle such situation... not a big deal ... still she is disgusting.
Linita's home remedies Chanu| Of course ... u r shameless... nothing will affect u ... u r disgusting...
Ashwini Kulkarni| I hate that journalist...He's not letting her speak at all and trying to insult her.....
movie buzz| Came after " karenjit Kaur  untold story of sunny Leone "
That's It| Indian media fucker what are doing?doing these kind of things for views and ratings such a hate for the host and love for sunny how he answered his questions from Pakistan
Stanzin Desal| he didn't even know how to pronounce Leone!
Harlin Kaur| Sunny nailing it with her positivity.
Nahin Shafique| u should slap this bastered .......fuckink bloody shit .....i want to kill him
Live Love Life| U have no right to question her that way..thats her choice to work..u r typical indian "interviewer"..
sidrat farooq| major jerk 😤
Piyush Jain| Asshole bhupendra
Kunal Singh| Tu to Gaya chutiya 😂
Ritu Rits| Why sunny didn’t slap this guy😡
Naveen r| This guy ask questions like stupid
Zee & Jee| woww people are soo ignorant
a J| Wow... What a jerk this guy is. I feel sorry for his Mom and sister or any ladies in his family.
moody girl| Trust me u just misbehaved with her  .... I wonder why she didn't slapped him !!! Worst interview     that's why it has more dislikes than likes !!
Aishwarya Agarwal| This journalist is such a bastard !!!! 😠😠
Delhi Boy Rahul| Cnn waale aise fuddu reporter rakhte kyu hai ? yeh delhi mein hota lelete iski !!!
Sushila Yanjan| Whatever her past .but she is really nice
Benisha Kc| Interviewer do not have respect for women.
Indranil Debnath| Mr.Bhupender please give her a space!!!! She deserves respect
Agatha Kowalczyk| Kutta
arpit goyal| That guy was a complete creep..it was like he wanted to make sunny feel guilty for all the reasons in the world
Kiran Saini| This person is so shittyy .. i m so amazed by how she reacted nd she is a wonderful person.. hoping that there will be some good interviewers for you in upcoming time.. it should not be based on your past life experiences..
Zahra Khan| I wish sunny could slap this asshole what kinda person r u mr whatever ur name is
its true| 10:07 how he stammers....
Aishwarya Net| 17:42 "I'm wondering if I'm being morally corrupted because I'm interviewing you"SUNNY: "Well, I can leave if you want me to"
Abraam aditya Singh| Respect for sunny
yasmine 22| what the heck?? what do u mean by coverd head to toe -saree?? in bollywood everyone is semi naked most of the time!!!  is she gonna be the only being like that??  .
Sans the Rocker| Shit head interviewer
Rao8_20| trust me guys. its been 5 min watching this interview and still watching. i feel so angry and i wanted to slap that guy. kudos sunny, she was smiling and held patientce through out
Y A| I dont know how can a big industry like India give a chance to a porn star. Dont be surprised if ur daughter becomes a pornstar because now shes going to look at sunny and think ohhh shes a porn star and now shes become a famous bollywood star.
Y A| Ohhh she sees pornstars as beautiful and free. What a sl**
Y A| I hate how she said she would be a pornstar even if she goes back in time. No manners. U’ll never be a big star because of this shitty attitude
lotus shingne| He is just pice of shit..
Jagtar Singh| Love u sunny❤❤❤❤
iqra arshad| How creepy the anchor is looking.. The guy actually raped her and assualt her character. Doesn't matter who were she before she is a woman and a human being in first. She has great patient.
dr jaysankar| What a jerk... With this interview he proved himself to be the greatest pervert in India..
amal raj| bhupendra is an asshole
Saugat Thapa Magar| He deserves a slap
Addi topblue| This man was so badly rude and all the questions was inappropriate
Aishwarya Naik| The answer to the reporters  questions now would be her biopic😍😍😍love you sunny coz you are a good person no matter what😍😍😍
Ajay Palekar| What is Bhupendra Chaubey's past?  In the interview he made a fool of himself. Sunny spoke honesty and straight from the heart, a quality which many of the glamorous people and media persons lack.
GMU TREASURE CHEST official| The likes r for sunny's confidence and dislikes for this pervert man's questions.
GMU TREASURE CHEST official| Iska takla phodo yar koi..
Pooja Dwivedi| Sunny maybe was in the most brazen profession ever on this planet but this woman is the most graceful and elegant person of all in the bollywood.
RHEA RAVANDUR BASAPPA| Disliked for the interviewer , sunny u go girl !
Chipemmi Abonmai| foolish interviewer...sunny u r so intelligent...
Tenzin Phantok| He deserves a gud beating
reshmi m| plz dont interview any woman nymore..
reshmi m| if a husbnd goes wid her.. dat man can go wid ny woman..( i dont think she wud ever b in love wid ny indian man)who is  this interviewer loser! love u sunny ...she has a better family dan oder bollywood stars..evn a better family dan d interviewer i think
Me Ow| She’s so realistic
Bogireddy Teja| She is a sage
user| Notice that this guy has naughty and mischevious smile.
Theertha P| Disliking the video only because of that moron who had no respect towards her.
Arpita Singh| some minister said the great Indian morality is maligned by her. Seriously ?? I just forgot how to laugh.
Arpita Singh| what's wrong this guy?He is not even letting her complete her answers. He is just throwing random questions at her. I mean he's like I can speak in whichever way I please, to the person sitting in front of me. I can disgrace her, demean her and do whatever shit I feel like bcoz majority of my country is gonna support me.
Abhishek Arya| This guy needs a slap right across his face.
